tweet, sentiment, polarity
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.4529680365296812,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.45277777777777856,Negative
b'#SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.44896907216494814,Negative
b"@Dougwil36569667 How's it hanging Doug wilson",-0.43529411764705844,Negative
b"What a gesture from @NHL donating 20% of Doug Wilson's 2013 fine to the Brian and Amanda Bickell Foundation @Caskenette #NHLAwards #Bettman",-0.43607843137254865,Negative
b"RT @j_perna: Started to get excited for the Eagles but then remembered that time Doug Baldwin threw a TD pass to Russell Wilson and now I'm\xe2\x80\xa6",-0.37349598930481304,Negative
b'PAUL MARTIN IS STILL A SAN JOSE SHARK!! I REPEAT!! PAUL MARTIN IS STILL A SHARK!! THANK YOU GOD!! GOD BLESS YOUR SOUL DOUG WILSON!!',-0.5111111111111107,Negative
b'RT @zakkthebear: Doug WIlson needs to come away with John Tavares from that burning building that is the New York #Isles https://t.co/baS7q\xe2\x80\xa6',-0.37744279529993946,Negative
b'RT @zakkthebear: Doug WIlson needs to come away with John Tavares from that burning building that is the New York #Isles https://t.co/baS7q\xe2\x80\xa6',-0.37744279529993946,Negative
b'Doug WIlson needs to come away with John Tavares from that burning building that is the New York #Isles https://t.co/baS7qGWxQC',-0.37621419676214135,Negative
b"RT @j_perna: Started to get excited for the Eagles but then remembered that time Doug Baldwin threw a TD pass to Russell Wilson and now I'm\xe2\x80\xa6",-0.3996010638297872,Negative
b"RT @j_perna: Started to get excited for the Eagles but then remembered that time Doug Baldwin threw a TD pass to Russell Wilson and now I'm\xe2\x80\xa6",-0.3996010638297872,Negative
b"James Neal would be one of the top players I'd be targeting if I was Doug Wilson. https://t.co/KbVYTXByNZ",-0.3612121212121207,Negative
b"RT @j_perna: Started to get excited for the Eagles but then remembered that time Doug Baldwin threw a TD pass to Russell Wilson and now I'm\xe2\x80\xa6",-0.40090673575129565,Negative
b"Started to get excited for the Eagles but then remembered that time Doug Baldwin threw a TD pass to Russell Wilson and now I'm pissed off",-0.4045454545454541,Negative
b'Russell Wilson\nDavid Johnson\nDoug Baldwin\nJimmy Graham https://t.co/mLH9q7gQng',-0.37011634199134213,Negative
